学校,所在地,AB区,985,211,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
东南大学,江苏,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
南京航空航天大学,江苏,A,1,0,1,统考,经济与管理学院,(025100)(专业学位)金融,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
南京航空航天大学,江苏,A,1,0,1,统考,经济与管理学院,(025100)(专业学位)金融,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
南京航空航天大学,江苏,A,1,0,1,统考,经济与管理学院,(025100)(专业学位)金融,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
南京理工大学,江苏,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：30(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
南京理工大学,江苏,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：30(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
南京理工大学,江苏,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：30(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
南京理工大学,江苏,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：30(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
南京理工大学,江苏,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：30(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
南京理工大学,江苏,A,1,0,1,统考,理学院,(025100)(专业学位)金融,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
南京理工大学,江苏,A,1,0,1,统考,理学院,(025100)(专业学位)金融,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
